page_index,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
2,5,1,1,1,1,1,48,288,15,15,91.943146,B.
2,5,1,1,1,1,2,71,287,114,17,91.29393,CLARINETS
2,5,1,2,1,1,1,35,346,773,4,95.0, 
2,5,1,3,1,1,1,51,356,19,20,31.575378,"4,"
2,5,1,3,1,1,2,130,357,18,19,48.963806,Io
2,5,1,4,1,1,1,1313,358,10,15,93.51207,>
2,5,1,5,1,1,1,35,381,1454,6,95.0, 
2,5,1,6,1,1,1,72,390,65,15,64.821609,mouth:
2,5,1,6,1,1,2,146,391,13,12,1.015083,#)
2,5,1,6,1,2,1,75,420,41,16,77.056717,piece
2,5,1,7,1,1,1,59,469,26,20,78.016289,{0)
2,5,1,7,1,1,2,138,469,11,16,70.259109,0
2,5,1,7,1,2,1,52,495,35,16,43.295971,140
2,5,1,7,1,2,2,127,496,34,16,43.295971,441
2,5,1,7,1,3,1,52,520,43,16,34.53566,14.25
2,5,1,7,1,3,2,127,522,37,15,83.497498,47.6
2,5,1,7,1,4,1,53,547,31,16,88.157913,14.5
2,5,1,7,1,4,2,127,548,36,15,94.985016,66.6
2,5,1,7,1,5,1,52,574,45,15,67.156738,1475
2,5,1,7,1,5,2,127,574,38,16,67.156738,846
2,5,1,8,1,1,1,198,347,5,529,95.0, 
2,5,1,9,1,1,1,26,305,793,591,95.0, 
2,5,1,10,1,1,1,392,927,7,12,96.663887,3
2,5,1,10,1,2,1,393,953,6,11,90.798332,3
2,5,1,11,1,1,1,47,933,14,13,12.623444,2)
2,5,1,11,1,1,2,74,934,98,13,95.350296,mouthpiece
2,5,1,11,1,1,3,181,934,60,12,92.994499,volume
2,5,1,11,1,1,4,250,937,7,6,78.81945,=
2,5,1,11,1,1,5,273,935,32,10,95.244431,10.5
2,5,1,11,1,1,6,331,934,23,12,33.681549,0.1
2,5,1,11,1,1,7,365,937,22,9,89.171516,cm
2,5,1,11,1,2,1,47,958,16,12,75.446228,b)
2,5,1,11,1,2,2,74,959,98,12,67.87944,mouthpiece
2,5,1,11,1,2,3,181,959,60,11,96.208656,volume
2,5,1,11,1,2,4,251,961,7,6,93.511681,=
2,5,1,11,1,2,5,272,959,34,11,93.511681,11.0
2,5,1,11,1,2,6,331,959,23,11,71.832153,0.1
2,5,1,11,1,2,7,364,962,23,8,91.813057,cm
2,5,1,12,1,1,1,622,349,2,536,95.0, 
2,5,1,13,1,1,1,873,353,4,665,95.0, 
2,5,1,14,1,1,1,942,353,4,666,95.0, 
2,5,1,15,1,1,1,38,1119,784,7,95.0, 
2,5,1,16,1,1,1,211,1159,611,4,95.0, 
2,5,1,17,1,1,1,56,1558,37,15,33.084946,475°
2,5,1,17,1,1,2,123,1558,37,15,70.2164,92.2
2,5,1,18,1,1,1,198,1125,3,465,95.0, 
2,5,1,19,1,1,1,410,1125,2,465,95.0, 
2,5,1,20,1,1,1,353,1682,63,20,90.40802,Monnig
2,5,1,21,1,1,1,620,1120,2,470,95.0, 
2,5,1,22,1,1,1,1179,355,4,662,95.0, 
2,5,1,23,1,1,1,1268,355,4,663,95.0, 
2,5,1,24,1,1,1,1320,391,10,41,30.999878,0
2,5,1,25,1,1,1,1321,494,9,42,66.380386,wn
2,5,1,26,1,1,1,1320,572,10,16,84.181175,0
2,5,1,27,1,1,1,1321,676,8,16,7.508377,oa
2,5,1,28,1,1,1,1322,911,8,16,52.257191,nu
2,5,1,29,1,1,1,1307,392,11,15,36.83987,iF
2,5,1,29,1,2,1,1305,416,14,16,34.545158,2h
2,5,1,29,1,3,1,1305,443,8,16,96.330688,2
2,5,1,29,2,1,1,1305,468,8,16,96.557129,2
2,5,1,29,3,1,1,1304,495,14,16,44.27029,an
2,5,1,29,3,2,1,1305,520,14,16,73.182259,2.
2,5,1,29,3,3,1,1305,572,14,16,34.149681,25
2,5,1,29,3,4,1,1306,624,8,16,96.586548,2
2,5,1,29,4,1,1,1306,676,13,16,94.867928,2.
2,5,1,29,4,2,1,1305,702,8,16,96.603394,2
2,5,1,29,5,1,1,1305,754,9,15,84.828888,3
2,5,1,29,5,2,1,1305,780,8,16,96.606186,2
2,5,1,29,6,1,1,1306,832,8,16,96.695915,2
2,5,1,29,6,2,1,1305,912,14,15,57.878231,3
2,5,1,29,6,3,1,1305,937,9,15,96.762009,3
2,5,1,29,6,4,1,1304,964,10,15,96.914581,4
2,5,1,29,6,5,1,1304,989,10,15,96.898102,4
2,5,1,30,1,1,1,1352,354,4,663,95.0, 
2,5,1,31,1,1,1,1559,354,4,665,95.0, 
2,5,1,32,1,1,1,1663,356,4,663,95.0, 
2,5,1,33,1,1,1,1695,716,15,289,23.547874,Shaka
2,5,1,33,1,1,2,1689,807,31,60,27.344543,whew
2,5,1,33,1,1,3,1689,753,31,39,27.615318,Sate
2,5,1,33,1,1,4,1689,711,31,30,29.509842,WD
2,5,1,34,1,1,1,1711,963,8,41,57.346298,nin
2,5,1,35,1,1,1,1744,355,4,664,95.0, 
2,5,1,36,1,1,1,1797,34,54,29,96.044342,105
2,5,1,37,1,1,1,820,308,1040,720,95.0, 
2,5,1,38,1,1,1,1067,1122,783,4,95.0, 
2,5,1,39,1,1,1,1082,1132,19,20,54.512741,qa
2,5,1,39,1,1,2,1155,1132,17,20,59.03223,Ig
2,5,1,40,1,1,1,1067,1158,783,4,95.0, 
2,5,1,41,1,1,1,1099,1165,34,15,78.049088,reed
2,5,1,41,1,1,2,1141,1167,8,11,90.556366,+
2,5,1,41,1,2,1,1099,1190,48,20,87.336555,stapel
2,5,1,41,1,2,2,1154,1188,14,13,64.435699,©)
2,5,1,42,1,1,1,1130,1677,51,15,96.171883,Buffet
2,5,1,43,1,1,1,1225,1122,2,468,95.0, 
2,5,1,44,1,1,1,1644,1122,2,468,95.0, 
2,5,1,45,1,1,1,1438,1128,2,462,95.0, 
2,5,1,46,1,1,1,1539,1129,2,461,95.0, 
2,5,1,47,1,1,1,895,1698,511,2,95.0, 
2,5,1,48,1,1,1,41,1703,510,4,95.0, 
2,5,1,49,1,1,1,347,1713,19,18,61.88213,fy
2,5,1,50,1,1,1,1090,1698,316,2,95.0, 
2,5,1,51,1,1,1,728,1727,603,2,95.0, 
2,5,1,52,1,1,1,41,1734,510,4,95.0, 
2,5,1,53,1,1,1,342,1741,19,15,68.500778,7?
2,5,1,53,1,2,1,342,1767,19,15,2.441391,im
2,5,1,54,1,1,1,359,1896,8,15,70.682205,in
2,5,1,55,1,1,1,359,1975,8,15,74.23011,in
2,5,1,56,1,1,1,341,1793,16,304,0.193237,ARUAWDARMAAAG
2,5,1,56,1,2,1,359,2028,8,16,60.096558,in
2,5,1,57,1,1,1,92,1704,5,640,95.0, 
2,5,1,58,1,1,1,150,1704,4,640,95.0, 
2,5,1,59,1,1,1,394,1703,4,641,95.0, 
2,5,1,60,1,1,1,327,1708,4,636,95.0, 
2,5,1,61,1,1,1,677,1762,720,2,95.0, 
2,5,1,62,1,1,1,472,1706,4,638,95.0, 
2,5,1,63,1,1,1,723,1779,3,559,95.0, 
2,5,1,64,1,1,1,783,1801,3,532,95.0, 
2,5,1,65,1,1,1,945,1704,35,15,95.576302,hole
2,5,1,65,1,1,2,988,1705,14,14,74.837563,in
2,5,1,65,1,1,3,1010,1704,29,19,19.639748,key}
2,5,1,65,1,1,4,1067,1705,61,15,69.560432,outside
2,5,1,65,1,2,1,972,1734,26,19,45.743195,fat
2,5,1,65,1,2,2,1048,1734,35,19,68.887054,dua
2,5,1,66,1,1,1,1106,1736,4,546,95.0, 
2,5,1,67,1,1,1,946,1797,4,517,95.0, 
2,5,1,68,1,1,1,1041,1802,3,542,95.0, 
2,5,1,69,1,1,1,1182,1785,4,513,95.0, 
2,5,1,70,1,1,1,1261,1737,3,602,95.0, 
2,5,1,71,1,1,1,1335,1867,3,383,95.0, 
2,5,1,72,1,1,1,1413,1818,4,527,95.0, 
2,5,1,73,1,1,1,29,1055,1829,1300,95.0, 
