#    x[meter]	    r[meter]	
   0.0000000e-01   8.4000000e-03
   2.0000000e-04   8.4000000e-03
   6.0000000e-04   6.6262909e-03
   1.0000000e-03   3.1069360e-03
   1.4000000e-03   1.9895242e-03
   1.7734052e-03   1.8250000e-03
   8.3704052e-03   4.2000000e-03
   8.3704052e-03   4.6400000e-03
   1.3870405e-02   5.0000000e-03
   1.9370405e-02   5.5000000e-03
   2.4870405e-02   5.7000000e-03
   3.0370405e-02   5.8200000e-03
   7.9870405e-02   5.8200000e-03
   7.9870405e-02   5.8250000e-03
   8.1870405e-02   6.1250000e-03
   8.3770405e-02   6.1000000e-03
   8.6770405e-02   5.9850000e-03
   9.0270405e-02   6.2050000e-03
   9.3270405e-02   6.3250000e-03
   9.6170405e-02   6.6500000e-03
   9.9170405e-02   6.9700000e-03
   1.0227041e-01   7.3900000e-03
   1.0527041e-01   8.4500000e-03
   1.1137041e-01   8.6800000e-03
   1.1437041e-01   9.2500000e-03
   1.1747041e-01   9.8450000e-03
   1.2067041e-01   1.0645000e-02
   1.2367041e-01   1.1550000e-02
   1.2617041e-01   1.2750000e-02
   1.2977041e-01   1.4375000e-02
   1.3277041e-01   1.6700000e-02
   1.3617041e-01   2.2500000e-02
   1.3907041e-01   3.4700000e-02
   1.4187041e-01   6.1000000e-02
